"Compounds ID", "Tags", "Checked", "Name", "Formula", "Annot. Source: Predicted Compositions", "Annot. Source: mzCloud Search", "Annot. Source: mzVault Search", "Annot. Source: ChemSpider Search", "Annot. Source: MassList Search", "Annot. DeltaMass [ppm]", "Calc. MW", "m/z", "RT [min]", "Area (Max.)", "# ChemSpider Results", "# mzCloud Results", "# mzVault Results", "mzCloud Best Match", "mzCloud Best Match Confidence", "mzVault Best Match", "mzVault Library Match: LipidBlast-VS68-Neg", "mzVault Library Match: LipidBlast-VS68-Pos", "Class Coverage: Phosphatidylcholine Compound Class", "Mass List Match: LipidMaps Structure Database 2023-01-11", "Mass List Match: HMDB Serum metabolites (v5. 40600 cpds)", "MS2", "Neutral Losses", "Reference Ion", "Group Area: cla", "Group Area: cla_lps", "Group Area: ctrl", "Group Area: lps", "Group Area: no2-cla_lps", "Group CV [%]: cla", "Group CV [%]: cla_lps", "Group CV [%]: ctrl", "Group CV [%]: lps", "Group CV [%]: no2-cla_lps", "Ratio: (cla) / (ctrl)", "Ratio: (lps) / (ctrl)", "Ratio: (no2-cla_lps) / (ctrl)", "Ratio: (cla_lps) / (lps)", "Ratio: (no2-cla_lps) / (lps)", "Log2 Fold Change: (cla) / (ctrl)", "Log2 Fold Change: (lps) / (ctrl)", "Log2 Fold Change: (no2-cla_lps) / (ctrl)", "Log2 Fold Change: (cla_lps) / (lps)", "Log2 Fold Change: (no2-cla_lps) / (lps)", "P-value: (cla) / (ctrl)", "P-value: (lps) / (ctrl)", "P-value: (no2-cla_lps) / (ctrl)", "P-value: (cla_lps) / (lps)", "P-value: (no2-cla_lps) / (lps)", "Adj. P-value: (cla) / (ctrl)", "Adj. P-value: (lps) / (ctrl)", "Adj. P-value: (no2-cla_lps) / (ctrl)", "Adj. P-value: (cla_lps) / (lps)", "Adj. P-value: (no2-cla_lps) / (lps)", "Peak Rating (Max.)", "Peak Rating: Liver-H-9.raw (F9)", "Peak Rating: Liver-H-10.raw (F10)", "Peak Rating: Liver-H-11.raw (F11)", "Peak Rating: Liver-H-12.raw (F12)", "Peak Rating: Liver-H-13.raw (F13)", "Peak Rating: Liver-H-14.raw (F14)", "Peak Rating: Liver-H-15.raw (F15)", "Peak Rating: Liver-H-16.raw (F16)", "Peak Rating: Liver-H-25.raw (F25)", "Peak Rating: Liver-H-26.raw (F26)", "Peak Rating: Liver-H-27.raw (F27)", "Peak Rating: Liver-H-28.raw (F28)", "Peak Rating: Liver-H-29.raw (F29)", "Peak Rating: Liver-H-30.raw (F30)", "Peak Rating: Liver-H-31.raw (F31)", "Peak Rating: Liver-H-32.raw (F32)", "Peak Rating: Liver-H-1.raw (F1)", "Peak Rating: Liver-H-2.raw (F2)", "Peak Rating: Liver-H-3.raw (F3)", "Peak Rating: Liver-H-4.raw (F4)", "Peak Rating: Liver-H-5.raw (F5)", "Peak Rating: Liver-H-6.raw (F6)", "Peak Rating: Liver-H-7.raw (F7)", "Peak Rating: Liver-H-8.raw (F8)", "Peak Rating: Liver-H-17.raw (F17)", "Peak Rating: Liver-H-18.raw (F18)", "Peak Rating: Liver-H-19.raw (F19)", "Peak Rating: Liver-H-20.raw (F20)", "Peak Rating: Liver-H-21.raw (F21)", "Peak Rating: Liver-H-22.raw (F22)", "Peak Rating: Liver-H-23.raw (F23)", "Peak Rating: Liver-H-24.raw (F24)", "Peak Rating: Liver-H-33.raw (F33)", "Peak Rating: Liver-H-34.raw (F34)", "Peak Rating: Liver-H-35.raw (F35)", "Peak Rating: Liver-H-36.raw (F36)", "Peak Rating: Liver-H-37.raw (F37)", "Peak Rating: Liver-H-38.raw (F38)", "Peak Rating: Liver-H-39.raw (F39)", "Peak Rating: Liver-H-40.raw (F40)"
"2", "", "False", "Docosahexaenoic acid", "C22 H32 O2", "Full match", " Full match", " No results", " Partial match", " Full match", "1.36", "328.24068", "327.23339", "7.455", "5484742293.91698", "9", "2", "0", "94.0", "59.8", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "2449821398.86162", " 3337528656.75417", " 2458154621.18131", " 3132509468.77129", " 4387686214.2129", "47.7114785474204", " 41.515277442111", " 31.9457569921695", " 47.8877183440744", " 13.5955351104603", "0.997", " 1.274", " 1.785", " 1.065", " 1.401", "0.00", " 0.35", " 0.84", " 0.09", " 0.49", "0.999608129361234", " 0.967184157053009", " 0.618622631126124", " 0.739906932759834", " 0.259050586912231", "1", " 1", " 1", " 1", " 0.782157953060457", "7.5", "5.8", " 5.1", " 4.7", " 5.8", " 6.6", " 5.5", " 6.2", " 6.6", " 5.5", " 5.5", " 6.6", " 5.1", " 5.5", " 5.1", " 6.6", " 6.2", " 6.7", " 6.7", " 4.8", " 7.5", " 6.3", " 5.6", " 7.5", " 6.0", " 5.5", " 6.6", " 5.8", " 5.5", " 5.5", " 5.5", " 6.2", " 4.7", " 6.3", " 7.1", " 6.7", " 6.7", " 7.5", " 7.5", " 7.1", " 6.3"
"1", "", "False", "Linoleic acid", "C18 H32 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "0.88", "280.24048", "279.23320", "7.711", "4576311885.01209", "5", "4", "0", "97.3", "9.9", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "1956321944.90932", " 2254348091.86598", " 2036678328.92006", " 3090621115.20372", " 3638372408.72411", "28.588098573421", " 33.6439731521139", " 31.8805152281802", " 45.583795384779", " 7.21425484865463", "0.961", " 1.517", " 1.786", " 0.729", " 1.177", "-0.06", " 0.60", " 0.84", " -0.46", " 0.24", "0.999837781429114", " 0.999999845822564", " 0.410856329635897", " 0.993433525214121", " 0.394870347685837", "1", " 1", " 0.933100796632702", " 1", " 0.999136929909439", "8.7", "6.5", " 6.5", " 6.5", " 6.5", " 6.8", " 6.8", " 6.8", " 6.8", " 5.6", " 7.1", " 6.0", " 7.5", " 6.3", " 7.1", " 6.0", " 6.3", " 6.3", " 6.3", " 5.6", " 6.3", " 6.3", " 6.0", " 6.7", " 6.7", " 6.2", " 6.6", " 5.5", " 5.8", " 5.8", " 6.2", " 6.6", " 5.5", " 8.4", " 7.6", " 6.5", " 8.4", " 8.0", " 8.7", " 8.4", " 8.0"
"3", "", "False", "Arachidonic acid", "C20 H32 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "1.17", "304.24058", "303.23330", "7.598", "4006535260.26544", "26", "2", "0", "95.6", "9.8", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "2217693278.87203", " 2423224592.9856", " 2347275162.5611", " 2141384778.56231", " 3481254114.05495", "43.6396410305767", " 48.0309599840743", " 37.8567350808838", " 56.2905375982202", " 17.3665375417428", "0.945", " 0.912", " 1.483", " 1.132", " 1.626", "-0.08", " -0.13", " 0.57", " 0.18", " 0.70", "0.995752750644573", " 0.387695653966507", " 0.904424387620059", " 0.678384674589105", " 0.0779674936681876", "1", " 0.986069333848147", " 1", " 1", " 0.356946065198126", "8.1", "5.5", " 5.8", " 5.5", " 5.1", " 5.1", " 5.5", " 5.5", " 5.8", " 5.5", " 5.1", " 7.0", " 4.7", " 6.6", " 5.8", " 5.5", " 5.1", " 6.3", " 6.0", " 7.1", " 6.7", " 5.6", " 5.6", " 6.7", " 6.7", " 6.2", " 5.8", " 5.8", " 5.1", " 4.7", " 5.1", " 6.6", " 5.8", " 7.0", " 5.8", " 8.1", " 4.3", " 7.3", " 7.0", " 5.5", " 8.1"
"4", "", "False", "Oleic acid", "C18 H34 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "0.94", "282.25614", "281.24886", "8.226", "2545302420.56995", "6", "3", "0", "96.7", "9.8", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "1294880203.44136", " 1298171375.06659", " 887164025.422529", " 1140236005.43626", " 1616653133.83469", "32.7598919377301", " 33.3860897501859", " 44.9942354425499", " 61.0398414185351", " 29.0275608527724", "1.460", " 1.285", " 1.822", " 1.139", " 1.418", "0.55", " 0.36", " 0.87", " 0.19", " 0.50", "0.852982570249431", " 0.999955370465195", " 0.399886897393697", " 0.688236589120657", " 0.336787340095516", "1", " 1", " 0.919206302858378", " 1", " 0.914216240192867", "8.0", "6.3", " 6.3", " 7.1", " 6.3", " 7.1", " 6.7", " 7.5", " 7.1", " 6.3", " 6.3", " 7.5", " 6.0", " 7.1", " 6.0", " 6.0", " 3.7", " 6.2", " 6.6", " 6.6", " 6.6", " 6.2", " 6.6", " 5.5", " 6.6", " 5.8", " 6.6", " 6.2", " 6.2", " 5.1", " 5.5", " 4.7", " 6.2", " 7.6", " 5.7", " 8.0", " 7.2", " 8.0", " 8.0", " 7.2", " 6.5"
"7", "", "False", "Oleic acid alkyne", "C18 H30 O2", "Full match", " Full match", " No results", " Partial match", " Partial match", "0.85", "278.22482", "277.21754", "7.245", "2527414739.00732", "7", "6", "0", "96.7", "9.8", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "886092423.790886", " 893793406.541191", " 879317275.88755", " 1401824723.45109", " 2009837273.77505", "25.6032130247922", " 39.6430215101359", " 38.1767135780919", " 46.438158432886", " 13.3675574212023", "1.008", " 1.594", " 2.286", " 0.638", " 1.434", "0.01", " 0.67", " 1.19", " -0.65", " 0.52", "0.999986667232479", " 0.986724781307591", " 0.463144065278214", " 0.999943485083691", " 0.213261778042206", "1", " 1", " 0.999940126021816", " 1", " 0.690732372908665", "9.0", "5.7", " 5.7", " 4.6", " 6.1", " 6.1", " 5.7", " 6.5", " 7.2", " 5.6", " 6.3", " 7.1", " 5.6", " 7.1", " 5.2", " 6.7", " 6.3", " 5.6", " 6.0", " 6.7", " 6.3", " 4.1", " 5.2", " 6.7", " 5.6", " 4.7", " 4.7", " 6.2", " 5.5", " 5.8", " 5.5", " 5.5", " 5.1", " 7.9", " 7.5", " 8.2", " 7.5", " 7.5", " 8.6", " 7.1", " 9.0"
"5", "", "False", "Ethyl myristate", "C16 H32 O2", "Full match", " Full match", " No results", " Partial match", " Not the top hit", "0.62", "256.24039", "255.23311", "8.118", "1973954250.80012", "3", "2", "0", "97.6", "9.9", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "1076965775.51882", " 1368510019.50124", " 912616575.727247", " 1269710948.55872", " 1516928447.82164", "44.5391790706698", " 34.4002496295739", " 37.5158274351748", " 51.1286124075135", " 10.2490403915301", "1.180", " 1.391", " 1.662", " 1.078", " 1.195", "0.24", " 0.48", " 0.73", " 0.11", " 0.26", "0.92279666843073", " 0.999999286769892", " 0.151080589078071", " 0.64507719099541", " 0.163695534547329", "1", " 1", " 0.48781405008033", " 1", " 0.583795113170675", "9.0", "6.2", " 6.2", " 6.6", " 6.2", " 6.6", " 7.0", " 6.6", " 7.0", " 7.5", " 6.7", " 7.1", " 6.3", " 7.1", " 7.1", " 7.1", " 6.7", " 7.1", " 6.7", " 6.3", " 6.7", " 6.7", " 7.5", " 7.1", " 7.1", " 6.2", " 6.6", " 6.2", " 6.2", " 6.2", " 6.6", " 6.6", " 6.2", " 9.0", " 8.2", " 8.2", " 9.0", " 9.0", " 7.5", " 8.6", " 7.9"
"104", "", "False", "Linoleic acid", "C18 H32 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "1.07", "280.24053", "279.23325", "7.933", "1746482129.71927", "5", "4", "0", "96.8", "9.8", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "40871726.2685748", " 76772123.9303823", " 30469000.9781517", " 109659712.753304", " 114916434.073446", "245.388258053302", " 38.9507404464745", " 88.3079489304651", " 111.869750895857", " 28.639345229023", "1.341", " 3.599", " 3.772", " 0.700", " 1.048", "0.42", " 1.85", " 1.92", " -0.51", " 0.07", "0.715614843799265", " 0.151149336543627", " 0.0620321889286853", " 0.999698759834465", " 0.993032246683455", "1", " 0.516701559525088", " 0.25293406612471", " 1", " 1", "6.3", "", " 5.5", " ", " ", " 3.2", " 3.2", " 4.7", " ", " ", " ", " ", " 6.3", " ", " ", " ", " ", " ", " 5.8", " 3.9", " 3.7", " ", " 3.6", " ", " 6.2", " ", " ", " ", " ", " ", " 5.1", " ", " 5.8", " ", " ", " ", " ", " ", " 5.7", " ", " "
"38", "", "False", "LPA 22:6", "C25 H39 O7 P", "Not the top hit", " No results", " Full match", " No results", " Partial match", "1.16", "482.24390", "481.23663", "8.144", "1317830070.75346", "0", "0", "1", "", "", "90.9", "Single match found", " No matches found", "", "Single match found", " No matches found", "PreferredDDA", "", "[M-H]-1", "23692254.2140001", " 40497950.0773789", " 5321243.31793106", " 46318868.2286367", " 12862047.9089429", "76.5952332130279", " 88.7775297219667", " 133.237680834193", " 149.501384094806", " 177.940965355593", "4.452", " 8.705", " 2.417", " 0.874", " 0.278", "2.15", " 3.12", " 1.27", " -0.19", " -1.85", "0.653088357451985", " 0.00751308916298554", " 0.837257943919321", " 0.32833153643053", " 0.0934718501402348", "1", " 0.0477413406270282", " 1", " 1", " 0.403527816197514", "5.8", "", " 3.6", " ", " ", " 1.3", " ", " 4.3", " 4.3", " 3.2", " 5.5", " ", " ", " 3.9", " 5.8", " 1.3", " 3.9", " 1.7", " ", " 2.8", " ", " 5.5", " 5.8", " 1.3", " 3.9", " 4.3", " ", " ", " 3.6", " 4.3", " 3.9", " ", " 3.6", " ", " 4.7", " ", " 4.3", " 3.6", " 2.4", " 1.3", " "
"13", "", "False", "Eicosapentaenoic acid", "C20 H30 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "1.18", "302.22494", "301.21766", "7.140", "1225375927.22174", "39", "2", "0", "93.2", "80.0", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "323823676.440414", " 533181207.14834", " 653080707.780262", " 604118267.696272", " 971388529.108576", "52.5322154896292", " 44.6072751757273", " 38.8278740432819", " 48.7464838973342", " 16.4961390682915", "0.496", " 0.925", " 1.487", " 0.883", " 1.608", "-1.01", " -0.11", " 0.57", " -0.18", " 0.69", "0.838689659812821", " 0.754852976449742", " 0.849290028303901", " 0.920680903576436", " 0.20233578155417", "1", " 1", " 1", " 1", " 0.66519408745414", "8.1", "6.6", " 6.6", " 6.2", " 6.6", " 6.6", " 6.2", " 7.0", " 6.2", " 6.2", " 6.6", " 6.6", " 6.6", " 6.6", " 6.6", " 6.6", " 6.6", " 7.1", " 7.1", " 6.7", " 7.1", " 6.3", " 7.1", " 7.5", " 6.7", " 6.6", " 3.3", " 6.6", " 6.2", " 5.8", " 5.8", " 6.6", " 6.6", " 7.7", " 7.7", " 7.7", " 6.6", " 8.1", " 7.7", " 8.1", " 6.6"
"11","","False","9,12-hexadecadienoic acid","C16 H28 O2","Full match"," No results"," No results"," Partial match"," Full match","0.47","252.20905","251.20177","6.992","1208970956.71601","3","0","0","","","","No matches found"," No matches found","","Multiple matches found"," Single match found","PreferredDDA","","[M-H]-1","338095202.991993"," 412937558.683375"," 155291270.445251"," 557702603.109845"," 670037496.176568","27.4783784013764"," 50.5318198896744"," 39.5883746022498"," 52.6282759462499"," 31.5599256192522","2.177"," 3.591"," 4.315"," 0.740"," 1.201","1.12"," 1.84"," 2.11"," -0.43"," 0.26","0.566349217433771"," 0.859486682623509"," 0.0436141353092493"," 0.947649885497508"," 0.312573780153043","1"," 1"," 0.194779461818939"," 1"," 0.877350478999359","7.6","6.8"," 7.6"," 7.2"," 6.5"," 6.5"," 7.2"," 7.2"," 7.2"," 6.2"," 6.6"," 5.8"," 6.6"," 6.2"," 6.6"," 5.8"," 6.2"," 7.1"," 7.5"," 7.1"," 6.7"," 7.1"," 7.1"," 7.1"," 7.1"," 6.6"," 3.3"," 6.6"," 6.2"," 6.2"," 6.6"," 6.6"," 6.6"," 7.1"," 7.1"," 7.1"," 6.7"," 6.7"," 7.5"," 7.1"," 7.5"
"55", "", "False", "Arachidonic acid", "C20 H32 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "1.34", "304.24064", "303.23337", "7.820", "940206364.518256", "26", "2", "0", "96.1", "9.8", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "33875636.2315748", " 41269089.7030718", " 18317882.5299036", " 47934176.893343", " 83360579.3567834", "215.19493801654", " 161.6536383476", " 69.4024725474937", " 148.207135639976", " 23.5405297632759", "1.849", " 2.617", " 4.551", " 0.861", " 1.739", "0.89", " 1.39", " 2.19", " -0.22", " 0.80", "0.987886387431575", " 0.870767796159132", " 0.268296930946267", " 0.996709294600556", " 0.815145363527553", "1", " 1", " 0.715323401538187", " 1", " 1", "7.6", "", " ", " ", " 6.2", " 4.7", " 5.8", " 5.1", " 4.7", " ", " ", " 3.7", " ", " 5.5", " ", " 5.5", " ", " 6.2", " ", " 5.5", " ", " ", " ", " 5.5", " 4.7", " 6.2", " ", " ", " ", " ", " ", " 5.8", " 5.1", " ", " ", " ", " ", " ", " 6.5", " ", " 7.6"
"56", "", "False", "", "C13 H31 N5 O3", "Full match", " No results", " No results", " No results", " No results", "3.50", "305.24376", "304.23648", "7.702", "935099552.007087", "0", "0", "0", "", "", "", "No matches found", " No matches found", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "439575854.188424", " 540944951.970732", " 350878336.117428", " 449401859.634462", " 491108112.925061", "44.6694671831948", " 41.5158001968616", " 58.0925836996518", " 61.4597212529324", " 79.5816575585584", "1.253", " 1.281", " 1.400", " 1.204", " 1.093", "0.33", " 0.36", " 0.49", " 0.27", " 0.13", "0.963564301577966", " 0.991326829976563", " 0.999999487241231", " 0.490946880702872", " 0.988175450403081", "1", " 1", " 1", " 1", " 1", "6.2", "5.1", " 5.5", " 5.1", " 5.8", " 5.1", " 4.3", " 5.5", " 5.8", " 5.1", " 5.5", " 5.5", " 5.5", " 5.1", " 4.7", " 4.7", " 5.5", " 6.2", " 5.1", " 5.5", " 6.2", " 3.2", " 4.3", " 5.5", " 6.2", " 6.2", " 5.5", " 4.7", " 5.1", " 5.1", " 4.7", " 5.5", " 4.7", " 5.1", " ", " ", " 2.4", " ", " 5.5", " 4.7", " 5.8"
"107", "", "False", "", "C13 H31 N5 O3", "Full match", " No results", " No results", " No results", " No results", "3.50", "305.24376", "304.23648", "7.749", "935099552.007087", "0", "0", "0", "", "", "", "No matches found", " No matches found", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "439575854.188424", " 540944951.970732", " 152570476.426011", " 449401859.634462", " 100417052.76651", "54.8160336306049", " 41.5158001968616", " 89.2582848434335", " 60.4874144546599", " 108.094648899146", "2.881", " 2.946", " 0.658", " 1.204", " 0.223", "1.53", " 1.56", " -0.60", " 0.27", " -2.16", "0.587317524334115", " 0.941761186464972", " 0.995685033223228", " 0.578699050391146", " 0.995298340628026", "1", " 1", " 1", " 1", " 1", "6.2", "5.1", " 5.5", " 5.1", " ", " 5.1", " 4.3", " 5.5", " 5.8", " 5.1", " 5.5", " 5.5", " 5.5", " 5.1", " 4.7", " 4.7", " 5.5", " ", " 5.1", " 5.5", " 6.2", " 6.2", " 4.3", " ", " ", " 5.8", " 5.5", " 4.7", " 5.1", " 5.1", " 4.7", " 5.5", " 4.7", " 5.1", " ", " 5.8", " 2.4", " 6.2", " 5.5", " ", " "
"21", "", "False", "2-(Methylsulfonyl)-3-(pyrazin-2-ylamino)acrylonitrile", "C8 H8 N4 O2 S", "No results", " Invalid mass", " No results", " No results", " No results", "-6.42", "224.03536", "223.02808", "3.889", "908554929.167279", "0", "1", "0", "95.1", "9.8", "", "No matches found", " No matches found", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "24813105.2933972", " 6319425.52640798", " 7046495.26844092", " 44692193.7773883", " 6467285.0393316", "103.292007264426", " 117.354804460441", " 183.963788609224", " 210.67704788962", " 20.8881867627827", "3.521", " 6.342", " 0.918", " 0.141", " 0.145", "1.82", " 2.67", " -0.12", " -2.82", " -2.79", "0.988861835909369", " 0.843297658521678", " 0.884699820034505", " 0.304403077216857", " 0.311605327817576", "1", " 1", " 1", " 1", " 0.876573661534268", "7.6", "6.6", " 5.8", " 6.6", " 6.6", " 6.6", " 6.6", " 6.6", " 6.6", " 6.6", " 6.2", " 6.2", " 6.2", " 6.2", " 5.1", " 5.5", " 6.6", " 6.6", " 6.6", " 6.6", " 6.2", " 6.2", " 6.6", " 6.6", " 6.2", " 6.6", " ", " 6.6", " 6.6", " 6.2", " 6.6", " 6.6", " 6.2", " 6.1", " 7.2", " 7.6", " 6.8", " 6.8", " 7.6", " 7.2", " 7.2"
"69", "", "False", "2-Chloro-4-[(dimethylcarbamoyl)amino]benzoic acid", "C10 H11 Cl N2 O3", "No results", " No results", " No results", " No results", " Full match", "0.33", "242.04590", "223.02806", "3.880", "908554929.167279", "0", "0", "0", "", "", "", "No matches found", " No matches found", "", "No matches found", " Multiple matches found", "PreferredDDA", "", "[M-H-H2O]-1", "24813105.2933972", " 6319425.52640798", " 7046495.26844092", " 44692193.7773883", " 6467285.0393316", "103.292007264426", " 117.354804460441", " 183.963788609224", " 210.676561685089", " 20.8881867627827", "3.521", " 6.342", " 0.918", " 0.141", " 0.145", "1.82", " 2.67", " -0.12", " -2.82", " -2.79", "0.988802107364175", " 0.841017031594939", " 0.884176910930061", " 0.301395182330566", " 0.308564425438462", "1", " 1", " 1", " 1", " 0.871404144978497", "7.6", "6.6", " 5.8", " 6.6", " 6.6", " 6.6", " 6.6", " 6.6", " 6.6", " 6.6", " 6.2", " 6.2", " 6.2", " 6.2", " 5.1", " 5.5", " 6.6", " 6.6", " 6.6", " 6.6", " 6.2", " 6.2", " 6.6", " 6.6", " 6.2", " 6.6", " ", " 6.6", " 6.6", " 6.2", " 6.6", " 6.6", " 6.2", " 6.1", " 7.2", " 7.6", " 6.8", " 6.8", " 7.6", " 7.2", " 7.2"
"37", "", "False", "Cholic acid", "C24 H40 O5", "Full match", " Full match", " Full match", " Full match", " Full match", "1.21", "408.28807", "407.28065", "3.582", "893929041.948807", "14", "4", "3", "99.6", "10.0", "28.4", "Multiple matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "182541485.463247", " 329465672.605882", " 345285844.52063", " 333646332.718902", " 543923902.546397", "89.5073525358522", " 44.595819227639", " 39.4501992516835", " 68.247496727946", " 46.4487791102264", "0.529", " 0.966", " 1.575", " 0.987", " 1.630", "-0.92", " -0.05", " 0.66", " -0.02", " 0.71", "0.909007527685731", " 0.646763706601387", " 0.973608191337872", " 0.499441240932857", " 0.296926803829074", "1", " 1", " 1", " 1", " 0.854140810986517", "7.1", "5.8", " 6.2", " 6.2", " 6.2", " 4.3", " 5.1", " 5.1", " 6.2", " 6.6", " 6.2", " 6.2", " 6.2", " 6.2", " 5.8", " 5.8", " 5.8", " 6.0", " 7.1", " 6.7", " 6.3", " 6.7", " 6.7", " 6.7", " 7.1", " 6.2", " ", " 5.1", " 6.6", " 5.1", " 4.7", " 5.5", " 6.6", " 5.1", " 6.6", " 4.7", " 6.6", " 6.2", " 6.6", " 5.8", " 6.6"
"42", "", "False", "Cer 18:2;2O/2:0", "C20 H37 N O3", "Full match", " No results", " Full match", " Partial match", " Partial match", "1.71", "339.27792", "338.27065", "5.563", "886064528.619557", "1", "0", "1", "", "", "0.1", "Single match found", " No matches found", "", "Multiple matches found", " Single match found", "PreferredDDA", "", "[M-H]-1", "217049693.251791", " 228712915.45178", " 28361103.3909404", " 13184721.4092354", " 108226878.850144", "102.134634777553", " 85.1488090134542", " 74.3981850190864", " 65.2149772386048", " 27.4505688114311", "7.653", " 0.465", " 3.816", " 17.347", " 8.209", "2.94", " -1.11", " 1.93", " 4.12", " 3.04", "0.0653320589521291", " 0.780978660617085", " 0.255922757896735", " 0.0320236203602396", " 0.0219886538666373", "0.765541467779331", " 1", " 0.693188691793495", " 0.835120680163324", " 0.154329293432035", "7.6", "6.2", " 6.6", " 5.8", " 5.8", " 5.5", " 6.2", " 5.8", " 4.7", " 6.6", " 6.6", " ", " 6.2", " 5.8", " 5.1", " 6.2", " 6.2", " 4.3", " 5.5", " 4.3", " 2.8", " 5.1", " 6.6", " 5.5", " 6.6", " 3.2", " ", " 4.3", " 4.7", " 2.8", " 3.6", " 3.2", " 3.6", " 6.1", " 5.7", " 5.7", " 6.1", " 5.7", " 5.7", " 7.2", " 7.6"
"23", "", "False", "", "", "No results", " No results", " No results", " No results", " No results", "", "240.06686", "239.05958", "3.886", "837822131.857268", "0", "0", "0", "", "", "", "No matches found", " No matches found", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "22485434.343501", " 5963479.14774583", " 6708546.92639203", " 42015225.8866006", " 6025260.20430886", "103.997164317518", " 119.067014762057", " 182.977251357893", " 210.584632173975", " 21.3965536997261", "3.352", " 6.263", " 0.898", " 0.142", " 0.143", "1.74", " 2.65", " -0.15", " -2.82", " -2.80", "0.990536074103863", " 0.827973801339324", " 0.851481342286857", " 0.258095065601454", " 0.260274004400422", "1", " 1", " 1", " 1", " 0.78416805182533", "7.6", "6.2", " 6.2", " 6.6", " 5.8", " 6.6", " 6.6", " 6.6", " 6.6", " 6.2", " 6.2", " 6.2", " 4.7", " 6.2", " 5.8", " 5.1", " 6.6", " 7.0", " 6.6", " 5.8", " 5.1", " 6.2", " 6.6", " 6.6", " 6.2", " 6.6", " ", " 6.6", " 6.6", " 6.6", " 6.6", " 6.6", " 6.6", " 7.2", " 7.2", " 7.2", " 7.2", " 7.2", " 7.6", " 7.6", " 7.6"
"9", "", "False", "Palmitoleic acid", "C16 H30 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "0.48", "254.22470", "253.21742", "7.517", "804441964.333081", "4", "6", "0", "97.3", "9.9", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "397342926.385256", " 287790310.829225", " 254774533.177209", " 471999730.717853", " 351729752.30707", "34.5360989778899", " 44.410975819156", " 39.1339694143589", " 43.0690157961971", " 46.3867246537203", "1.560", " 1.853", " 1.381", " 0.610", " 0.745", "0.64", " 0.89", " 0.47", " -0.71", " -0.42", "0.87480959081478", " 0.982653845682069", " 0.933823023470236", " 0.995643742846619", " 0.999167257952697", "1", " 1", " 1", " 1", " 1", "7.1", "7.1", " 7.1", " 6.7", " 7.1", " 7.1", " 6.0", " 7.1", " 7.1", " 5.8", " 6.6", " 6.2", " 5.8", " 6.6", " 6.2", " 6.6", " 6.6", " 7.1", " 6.7", " 6.7", " 7.1", " 6.3", " 6.7", " 7.1", " 7.1", " 6.6", " 6.2", " 6.6", " 6.2", " 6.6", " 7.0", " 6.2", " 5.8", " 6.6", " 7.0", " 6.2", " 6.6", " 6.6", " 6.6", " 6.6", " 6.6"
