"Compounds ID", "Tags", "Checked", "Name", "Formula", "Annot. Source: Predicted Compositions", "Annot. Source: mzCloud Search", "Annot. Source: mzVault Search", "Annot. Source: ChemSpider Search", "Annot. Source: MassList Search", "Annot. DeltaMass [ppm]", "Calc. MW", "m/z", "RT [min]", "Area (Max.)", "# ChemSpider Results", "# mzCloud Results", "# mzVault Results", "mzCloud Best Match", "mzCloud Best Match Confidence", "mzVault Best Match", "mzVault Library Match: Bamba lab 34 lipid mediators library stepped NCE 10 30 45", "mzVault Library Match: Bamba lab 598 polar metabolites stepped NCE 10 30 45", "mzVault Library Match: Custom mzVault Library", "mzVault Library Match: LipidBlast-VS68-Neg", "mzVault Library Match: LipidBlast-VS68-Pos", "Class Coverage: Phosphatidylcholine Compound Class", "Mass List Match: LipidMaps Structure Database 2021-09-13", "MS2", "Neutral Losses", "Reference Ion", "Group Area: 16h-lps", "Group Area: 16h-lps-cla", "Group Area: 6h-cla-lps", "Group Area: 6h-lps", "Group Area: cla", "Group Area: ctrl", "Group CV [%]: 16h-lps", "Group CV [%]: 16h-lps-cla", "Group CV [%]: 6h-cla-lps", "Group CV [%]: 6h-lps", "Group CV [%]: cla", "Group CV [%]: ctrl", "Ratio: (16h-lps-cla) / (16h-lps)", "Ratio: (6h-lps) / (16h-lps)", "Ratio: (6h-cla-lps) / (16h-lps-cla)", "Ratio: (cla) / (6h-cla-lps)", "Ratio: (6h-cla-lps) / (6h-lps)", "Ratio: (ctrl) / (6h-lps)", "Ratio: (cla) / (ctrl)", "Log2 Fold Change: (16h-lps-cla) / (16h-lps)", "Log2 Fold Change: (6h-lps) / (16h-lps)", "Log2 Fold Change: (6h-cla-lps) / (16h-lps-cla)", "Log2 Fold Change: (cla) / (6h-cla-lps)", "Log2 Fold Change: (6h-cla-lps) / (6h-lps)", "Log2 Fold Change: (ctrl) / (6h-lps)", "Log2 Fold Change: (cla) / (ctrl)", "P-value: (16h-lps-cla) / (16h-lps)", "P-value: (6h-lps) / (16h-lps)", "P-value: (6h-cla-lps) / (16h-lps-cla)", "P-value: (cla) / (6h-cla-lps)", "P-value: (6h-cla-lps) / (6h-lps)", "P-value: (ctrl) / (6h-lps)", "P-value: (cla) / (ctrl)", "Adj. P-value: (16h-lps-cla) / (16h-lps)", "Adj. P-value: (6h-lps) / (16h-lps)", "Adj. P-value: (6h-cla-lps) / (16h-lps-cla)", "Adj. P-value: (cla) / (6h-cla-lps)", "Adj. P-value: (6h-cla-lps) / (6h-lps)", "Adj. P-value: (ctrl) / (6h-lps)", "Adj. P-value: (cla) / (ctrl)", "Peak Rating (Max.)", "Peak Rating: Plasma-27.raw (F27)", "Peak Rating: Plasma-28.raw (F28)", "Peak Rating: Plasma-29.raw (F29)", "Peak Rating: Plasma-30.raw (F30)", "Peak Rating: Plasma-31.raw (F31)", "Peak Rating: Plasma-32.raw (F32)", "Peak Rating: Plasma-33.raw (F33)", "Peak Rating: Plasma-34.raw (F34)", "Peak Rating: Plasma-35.raw (F35)", "Peak Rating: Plasma-36.raw (F36)", "Peak Rating: Plasma-21.raw (F21)", "Peak Rating: Plasma-22.raw (F22)", "Peak Rating: Plasma-23.raw (F23)", "Peak Rating: Plasma-24.raw (F24)", "Peak Rating: Plasma-25.raw (F25)", "Peak Rating: Plasma-26.raw (F26)", "Peak Rating: Plasma-14.raw (F14)", "Peak Rating: Plasma-15.raw (F15)", "Peak Rating: Plasma-16.raw (F16)", "Peak Rating: Plasma-17.raw (F17)", "Peak Rating: Plasma-18.raw (F18)", "Peak Rating: Plasma-19.raw (F19)", "Peak Rating: Plasma-20.raw (F20)", "Peak Rating: Plasma-8.raw (F8)", "Peak Rating: Plasma-9.raw (F9)", "Peak Rating: Plasma-10.raw (F10)", "Peak Rating: Plasma-11.raw (F11)", "Peak Rating: Plasma-12.raw (F12)", "Peak Rating: Plasma-1.raw (F1)", "Peak Rating: Plasma-2.raw (F2)", "Peak Rating: Plasma-3.raw (F3)", "Peak Rating: Plasma-4.raw (F4)", "Peak Rating: Plasma-5.raw (F5)", "Peak Rating: Plasma-6.raw (F6)", "Peak Rating: Plasma-7.raw (F7)"
"1","","False","9(Z),11(E)-Conjugated linoleic acid","C18 H32 O2","Full match"," Full match"," No results"," Not the top hit"," Not the top hit","1.87","280.24075","279.23348","11.086","1497883312.04983","119","4","0","96.4","9.8","","No matches found"," No matches found"," No matches found"," No matches found"," No matches found","","Multiple matches found","PreferredDDA","","[M-H]-1","518678849.449473"," 679291690.212438"," 879892549.440882"," 789272394.935287"," 409466642.713185"," 882366960.584256","52.9600861139429"," 31.2541303747454"," 20.576082867023"," 33.9176913750932"," 40.8745385825719"," 51.6523680158221","1.310"," 1.522"," 1.295"," 0.465"," 1.115"," 1.118"," 0.464","0.39"," 0.61"," 0.37"," -1.10"," 0.16"," 0.16"," -1.11","0.997981963339809"," 0.899711009789963"," 0.997815927299429"," 0.953837982303383"," 0.999999999396493"," 0.834870779549004"," 0.999982070730112","1"," 1"," 1"," 1"," 1"," 1"," 1","7.5","6.6"," 3.6"," 6.6"," 5.5"," 6.6"," 6.3"," 4.4"," "," "," 6.0"," 6.1"," 6.8"," 6.5"," 5.3"," 5.7"," 7.2"," 6.0"," "," 5.2"," 6.7"," 7.5"," 6.0"," 5.6"," "," 5.8"," 5.5"," 5.5"," 5.8"," 5.1"," 6.2"," 2.5"," 5.8"," 6.6"," 6.2"," 6.6"
"2", "", "False", "Oleic acid", "C18 H34 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "1.82", "282.25639", "281.24911", "12.408", "1418106569.14112", "60", "3", "0", "96.7", "9.8", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "333407700.614108", " 580379118.879589", " 969454815.783489", " 743365411.169664", " 424782126.845859", " 624718228.477879", "63.2438190580458", " 27.4440874253865", " 22.4603759280299", " 30.232574900653", " 38.9000495075381", " 51.7440831676964", "1.741", " 2.230", " 1.670", " 0.438", " 1.304", " 0.840", " 0.680", "0.80", " 1.16", " 0.74", " -1.19", " 0.38", " -0.25", " -0.56", "0.0932789164115777", " 0.00152537311168899", " 0.195306322060032", " 0.0622003828925056", " 0.893044939881874", " 0.838065939068162", " 0.927356139736201", "1", " 0.0377106130389778", " 1", " 0.626555076453776", " 1", " 1", " 1", "8.0", "5.5", " 6.6", " 6.2", " 6.6", " 6.6", " 8.0", " 6.8", " 7.6", " 7.2", " 6.5", " 8.0", " 7.2", " 6.5", " 6.5", " 7.2", " 4.9", " 6.7", " 5.6", " 6.7", " 6.3", " 6.7", " 6.7", " 5.6", " 6.7", " 6.7", " 6.3", " 6.7", " 6.7", " 6.6", " 6.2", " 5.8", " 3.9", " 5.8", " 5.1", " 6.2"
"3", "", "False", "Ethyl myristate", "C16 H32 O2", "Full match", " Full match", " No results", " Not the top hit", " Not the top hit", "3.72", "256.24118", "255.23391", "12.165", "1052620596.2491", "32", "2", "0", "97.2", "9.9", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "455836954.128396", " 492753021.031944", " 680826953.083994", " 610681582.857853", " 550240728.460035", " 596841710.869407", "22.8272214684441", " 13.8912361901441", " 21.2540855176915", " 28.3283958800291", " 20.4271096346704", " 27.6911918891433", "1.081", " 1.340", " 1.382", " 0.808", " 1.115", " 0.977", " 0.922", "0.11", " 0.42", " 0.47", " -0.31", " 0.16", " -0.03", " -0.12", "0.703778504523578", " 0.00559048493738856", " 0.0673185302137641", " 0.118355146402901", " 0.98557621410507", " 0.759972356274724", " 0.945954777412703", "1", " 0.0956832998899196", " 1", " 0.977613509287965", " 1", " 1", " 1", "8.2", "6.1", " 6.1", " 4.6", " 6.1", " 5.7", " 7.5", " 7.1", " 6.3", " 8.2", " 6.3", " 6.5", " 5.3", " 6.5", " 6.8", " 5.7", " 6.1", " 6.8", " 6.1", " 4.2", " 6.5", " 6.8", " 6.8", " 5.7", " 4.9", " 6.5", " 6.8", " 6.1", " 6.8", " 6.8", " 6.5", " 5.7", " 6.1", " 6.1", " 6.1", " 6.5"
"4", "", "False", "NP-011548", "C18 H34 O3", "Full match", " Full match", " No results", " Partial match", " Partial match", "1.66", "298.25129", "279.23345", "11.107", "750688260.066555", "73", "1", "0", "86.0", "9.3", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H-H2O]-1", "", " 455109015.923778", " ", " 377954353.201016", " 353421176.290416", " 350986457.506278", "", " 85.4582714746404", " ", " 51.1319323312946", " ", " ", "Infinity", " Infinity", " 0.000", " Infinity", " 0.000", " 0.929", " 1.007", "Infinity", " Infinity", " -Infinity", " Infinity", " -Infinity", " -0.11", " 0.01", "", " ", " ", " ", " ", " ", " ", "", " ", " ", " ", " ", " ", " ", "6.6", "", " ", " ", " ", " ", " ", " 5.1", " 6.6", " 5.5", " ", " ", " ", " ", " ", " ", " ", " ", " 5.8", " ", " ", " 5.5", " ", " ", " 5.5", " ", " ", " ", " ", " ", " ", " 6.2", " ", " ", " ", " "
"5", "", "False", "Docosahexaenoic acid", "C22 H32 O2", "Full match", " Full match", " No results", " Partial match", " Full match", "3.25", "328.24130", "327.23402", "10.404", "597904923.397369", "12", "2", "0", "76.5", "52.0", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "CO2", "[M-H]-1", "44243060.5911215", " 112744840.502637", " 203170177.70413", " 312172331.152151", " 48403793.5072139", " 81137053.099178", "72.1399875106521", " 34.1790894921124", " 19.5551832553349", " 39.4330941147193", " 33.6761931001136", " 39.8739177294767", "2.548", " 7.056", " 1.802", " 0.238", " 0.651", " 0.260", " 0.597", "1.35", " 2.82", " 0.85", " -2.07", " -0.62", " -1.94", " -0.75", "0.0837258446158919", " 5.77042527982741E-07", " 0.175852656241394", " 0.000149046752292881", " 0.421445053588726", " 1.66227590047141E-05", " 0.534009757708416", "1", " 0.00012839196247616", " 1", " 0.00769453858711996", " 1", " 0.00133259118021125", " 1", "8.5", "5.8", " 6.6", " 5.1", " 5.8", " 7.0", " 7.5", " 7.5", " 6.3", " 6.3", " 6.7", " 7.3", " 8.5", " 7.3", " 7.7", " 7.7", " 7.0", " 6.7", " 6.7", " 6.7", " 7.5", " 6.7", " 7.5", " 7.1", " 6.7", " 6.7", " 6.3", " 6.7", " 6.7", " 7.1", " 6.3", " 6.7", " 6.3", " 6.0", " 6.0", " 6.7"
"6", "", "False", "", "C24 H30 N2 O6", "Full match", " No results", " No results", " No results", " No results", "2.91", "442.21167", "441.20439", "12.079", "547236309.870296", "0", "0", "0", "", "", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "No matches found", "PreferredDDA", "", "[M-H]-1", "44401289.2693971", " 110794785.808654", " 321919084.976151", " 236049661.232401", " 184170219.897416", " 204406533.689181", "98.2392238169645", " 85.1728458770806", " 31.6631978319555", " 41.309954350281", " 29.2806257033236", " 35.3244521394411", "2.495", " 5.316", " 2.906", " 0.572", " 1.364", " 0.866", " 0.901", "1.32", " 2.41", " 1.54", " -0.81", " 0.45", " -0.21", " -0.15", "0.123268834867753", " 0.000899408459242856", " 0.0312461957389476", " 0.272997456477006", " 0.577704702028423", " 0.982444948802871", " 0.999999520035771", "1", " 0.0235433390801807", " 0.80377133707346", " 1", " 1", " 1", " 1", "7.2", "7.0", " 5.5", " 6.2", " 3.9", " 5.1", " 5.8", " 5.5", " 5.1", " 7.0", " 5.5", " 4.4", " 6.3", " 5.6", " 4.8", " 6.7", " 6.0", " 6.6", " 5.5", " 5.1", " 5.5", " 5.1", " 6.2", " 5.5", " 5.3", " 6.5", " 6.5", " 7.2", " 5.3", " 5.2", " 6.3", " 5.6", " 6.3", " 6.7", " 5.2", " 6.0"
"8", "", "False", "Stearic acid", "C18 H36 O2", "Full match", " Full match", " No results", " Full match", " Full match", "1.89", "284.27207", "283.26479", "13.751", "388167205.132412", "27", "2", "0", "96.9", "9.8", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "244066877.2531", " 261622221.179767", " 300729345.879137", " 310728128.795698", " 245414503.797148", " 224016760.646525", "12.7021729254586", " 9.42582985002771", " 18.3322034333654", " 30.9386462944517", " 14.9968037206441", " 27.8406906543393", "1.072", " 1.273", " 1.149", " 0.816", " 0.968", " 0.721", " 1.096", "0.10", " 0.35", " 0.20", " -0.29", " -0.05", " -0.47", " 0.13", "0.999781342531568", " 0.980476337880167", " 0.916348212949446", " 0.654402653839397", " 0.985742855896788", " 0.474250143081674", " 0.980337276579581", "1", " 1", " 1", " 1", " 1", " 1", " 1", "8.7", "7.9", " 7.1", " 7.9", " 7.1", " 7.5", " 8.7", " 8.7", " 7.6", " 8.4", " 8.4", " 6.2", " 6.6", " 7.3", " 5.8", " 6.6", " 6.6", " 6.7", " 6.0", " 6.0", " 5.6", " 6.7", " 5.6", " 6.0", " 5.2", " 7.5", " 8.6", " 6.7", " 7.1", " 6.8", " 6.5", " 6.5", " 6.8", " 6.5", " 7.2", " 8.0"
"9", "", "False", "Palmitoleic Acid", "C16 H30 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "4.00", "254.22560", "253.21832", "10.604", "380522660.746035", "57", "6", "0", "97.0", "9.9", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "82621931.228287", " 116831477.747696", " 132903553.161388", " 197719530.651301", " 99546856.5221856", " 124831214.797984", "56.8025618131969", " 21.7218184301093", " 24.1488659157247", " 37.3507375056343", " 51.7004148366441", " 48.1691713526901", "1.414", " 2.393", " 1.138", " 0.749", " 0.672", " 0.631", " 0.797", "0.50", " 1.26", " 0.19", " -0.42", " -0.57", " -0.66", " -0.33", "0.971662525409968", " 0.0258403753259437", " 0.997395436188163", " 0.980967016673786", " 0.291315025503531", " 0.0463287879558221", " 0.999999942381334", "1", " 0.325065136538551", " 1", " 1", " 1", " 0.718843451830659", " 1", "7.2", "5.5", " 5.8", " 5.1", " 6.6", " 5.8", " 6.8", " 5.7", " 6.5", " 6.1", " 7.2", " 5.7", " 7.2", " 6.1", " 5.7", " 6.1", " 6.5", " 5.6", " 7.1", " 7.1", " 6.0", " 6.3", " 7.1", " 6.3", " 5.1", " 6.6", " 6.2", " 6.2", " 6.2", " 5.5", " 6.2", " 6.2", " 3.9", " 5.8", " 5.1", " 6.2"
"7", "", "False", "Arachidonic acid", "C20 H32 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "2.65", "304.24104", "303.23376", "10.800", "342162550.724304", "51", "2", "0", "92.8", "49.4", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "CO2", "[M-H]-1", "55374320.1803021", " 79018950.4467257", " 152739812.036506", " 236244137.704346", " 64878755.6281798", " 114766203.079611", "60.8321245130927", " 32.4428612300791", " 29.026343859557", " 29.3315564366354", " 32.5959219011754", " 38.2960012307898", "1.427", " 4.266", " 1.933", " 0.425", " 0.647", " 0.486", " 0.565", "0.51", " 2.09", " 0.95", " -1.24", " -0.63", " -1.04", " -0.82", "0.214711042920599", " 1.33865595286498E-06", " 0.05767058298794", " 0.050479492471829", " 0.655599883371781", " 0.043893732822878", " 0.508312009254539", "1", " 0.000148925474756229", " 1", " 0.597452087159126", " 1", " 0.703762849593477", " 1", "7.6", "6.2", " 5.5", " 6.2", " 6.2", " 5.8", " 6.7", " 5.2", " 6.7", " 6.7", " 5.2", " 7.2", " 6.5", " 7.2", " 7.2", " 7.6", " 7.2", " 6.5", " 7.6", " 7.6", " 6.5", " 7.2", " 6.8", " 7.2", " 6.7", " 4.8", " 6.7", " 7.1", " 6.7", " 4.8", " 6.3", " 6.3", " 7.1", " 6.3", " 6.0", " 6.3"
"10", "", "False", "Margaric acid", "C17 H34 O2", "Full match", " No results", " No results", " Not the top hit", " Full match", "1.30", "270.25623", "269.24895", "13.000", "148657249.407282", "33", "0", "0", "", "", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "74679016.6639991", " 90548414.9047596", " 108017118.177482", " 114596088.572996", " 81690915.7996804", " 85306559.3827932", "51.1313880184561", " 27.7446260375287", " 20.7150054824109", " 17.668269921298", " 12.7799310229204", " 29.1473327917816", "1.213", " 1.535", " 1.193", " 0.756", " 0.943", " 0.744", " 0.958", "0.28", " 0.62", " 0.25", " -0.40", " -0.09", " -0.43", " -0.06", "0.819031120902099", " 0.14547570852328", " 0.932175490427334", " 0.944914090359135", " 0.999846736785121", " 0.928978510104941", " 0.999671377687858", "1", " 0.99594908142861", " 1", " 1", " 1", " 1", " 1", "8.2", "6.6", " 6.2", " 5.1", " 5.8", " 6.2", " 6.8", " 7.6", " 6.8", " 6.8", " 6.8", " 7.6", " 6.8", " 6.5", " 8.0", " 6.8", " 6.8", " 7.7", " 7.3", " 7.7", " 7.7", " 7.7", " 7.7", " 7.0", " 8.2", " 7.9", " 7.9", " 7.9", " 8.2", " 7.6", " 6.8", " 6.5", " 6.5", " 6.8", " 8.0", " 6.8"
"11", "", "False", "Oleic acid alkyne", "C18 H30 O2", "Full match", " Full match", " No results", " Partial match", " Partial match", "2.18", "278.22519", "277.21791", "9.808", "116530878.772444", "76", "6", "0", "96.0", "9.8", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "34421046.8412936", " 32747429.906877", " 37383532.7115008", " 70922771.1563909", " 35944735.7413949", " 73598185.6941069", "64.2542849777331", " 26.8369122388022", " 26.5162813195483", " 31.4300086598947", " 49.6885733263969", " 35.1586373122723", "0.951", " 2.060", " 1.142", " 0.962", " 0.527", " 1.038", " 0.488", "-0.07", " 1.04", " 0.19", " -0.06", " -0.92", " 0.05", " -1.03", "0.999583352218983", " 0.0413925319776548", " 0.819183316808984", " 0.99767824563267", " 0.222903706218197", " 0.999989505551754", " 0.0891237458963151", "1", " 0.42836457511759", " 1", " 1", " 1", " 1", " 1", "7.1", "6.2", " 6.2", " 6.6", " 5.5", " 6.2", " 6.1", " 6.8", " 6.8", " 6.8", " 4.9", " 6.5", " 5.7", " 5.7", " 6.5", " 5.7", " 6.5", " 7.1", " 6.7", " 6.3", " 5.6", " 5.2", " 6.0", " 6.7", " 5.1", " 4.7", " 5.5", " 5.5", " 4.7", " 6.3", " 6.0", " 6.3", " 6.3", " 6.0", " 6.3", " 5.2"
"14", "", "False", "Drotaverine", "C24 H31 N O4", "Full match", " No results", " No results", " Full match", " No results", "3.89", "397.22685", "396.21958", "11.435", "104225445.874431", "1", "0", "0", "", "", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "No matches found", "PreferredDDA", "", "[M-H]-1", "18872709.6668599", " 31726734.9948547", " 90612700.7890883", " 62867245.9668771", " 38370224.6916898", " 50911530.8171974", "57.5844676722659", " 85.6145430780378", " 26.2342691810877", " 42.6099528248557", " 25.497191804527", " 36.3161505324053", "1.681", " 3.331", " 2.856", " 0.423", " 1.441", " 0.810", " 0.754", "0.75", " 1.74", " 1.51", " -1.24", " 0.53", " -0.30", " -0.41", "0.607475835312538", " 0.0360385219211228", " 0.060999712591652", " 0.24098929427245", " 0.557441772828383", " 0.999958779972578", " 0.99209447991487", "1", " 0.391149811095113", " 1", " 1", " 1", " 1", " 1", "8.0", "5.5", " 6.6", " 5.1", " 6.6", " 6.6", " 6.6", " 6.2", " 6.2", " 6.2", " 6.2", " 6.5", " 7.6", " 8.0", " 7.2", " 6.5", " 8.0", " 6.2", " 4.7", " 6.6", " 6.6", " 6.6", " 6.6", " 5.8", " 7.2", " 7.2", " 7.2", " 4.6", " 7.6", " 7.1", " 6.0", " 6.7", " 6.7", " 6.0", " 5.6", " 7.5"
"13","","False","8Z,11Z,14Z-Eicosatrienoic acid","C20 H34 O2","Full match"," Full match"," No results"," Full match"," Not the top hit","2.73","306.25672","305.24944","11.632","99834757.2846759","38","3","0","97.6","9.9","","No matches found"," No matches found"," No matches found"," No matches found"," No matches found","","Multiple matches found","PreferredDDA","","[M-H]-1","8286677.05599245"," 14253460.7627602"," 42510051.5079462"," 60645329.147321"," 13577266.8047394"," 27324973.4354379","75.3440812056309"," 41.3130892269449"," 19.2179832107253"," 43.0127783697854"," 20.4591733795096"," 49.2821954760229","1.720"," 7.318"," 2.982"," 0.319"," 0.701"," 0.451"," 0.497","0.78"," 2.87"," 1.58"," -1.65"," -0.51"," -1.15"," -1.01","0.434003237055811"," 1.12939909269194E-06"," 0.00398934261139428"," 0.0180018946576438"," 0.940744141143028"," 0.0588823615450371"," 0.511645884987836","1"," 0.000148925474756229"," 0.242062497264915"," 0.323251412765517"," 1"," 0.80921188294751"," 1","7.7","5.8"," 6.6"," 5.0"," 5.5"," 6.0"," 4.3"," 4.7"," 5.5"," 5.1"," 5.8"," 7.0"," 7.7"," 5.8"," 7.0"," 6.2"," 7.0"," 5.5"," 5.5"," 6.6"," 5.1"," 6.2"," 6.2"," 5.8"," 6.5"," 6.5"," 5.3"," 4.2"," 5.7"," 6.6"," 5.5"," 5.1"," 5.1"," 6.2"," 4.3"," 5.5"
"16", "", "False", "Eicosapentaenoic acid", "C20 H30 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "3.07", "302.22551", "301.21823", "9.553", "91107292.0294517", "59", "2", "0", "85.8", "57.9", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "CO2", "[M-H]-1", "9378564.76231273", " 7831093.37187205", " 18861000.6538983", " 44632831.4834592", " 6357583.03282707", " 16815883.5028084", "66.5532765647362", " 34.3267304728104", " 41.1339701389342", " 51.5095024260558", " 41.4904153057978", " 44.6836280607481", "0.835", " 4.759", " 2.408", " 0.337", " 0.423", " 0.377", " 0.378", "-0.26", " 2.25", " 1.27", " -1.57", " -1.24", " -1.41", " -1.40", "0.946195280057308", " 5.28758810625085E-06", " 0.155941003328184", " 0.0438363707037188", " 0.0410325026576801", " 0.0106366538955311", " 0.0826466734271037", "1", " 0.000392162784546938", " 1", " 0.597452087159126", " 1", " 0.207340766614926", " 1", "7.1", "6.2", " 5.5", " 3.9", " 5.5", " 5.2", " 6.5", " 7.1", " 7.1", " 7.1", " 6.7", " 6.2", " 6.2", " 5.1", " 6.6", " 6.2", " 6.6", " 6.6", " 5.5", " 6.2", " 6.2", " 7.0", " 6.2", " 6.2", " 5.6", " 5.8", " 6.6", " 6.6", " 6.6", " 6.2", " 6.6", " 6.2", " 6.2", " 4.3", " 6.6", " 5.1"
"12","","False","all-cis-4,7,10,13,16-Docosapentaenoic acid","C22 H34 O2","Full match"," Full match"," No results"," Not the top hit"," Full match","2.89","330.25683","329.24956","11.052","82441701.7622492","17","2","0","91.9","9.6","","No matches found"," No matches found"," No matches found"," No matches found"," No matches found","","Multiple matches found","PreferredDDA","CO2","[M-H]-1","9060059.34452186"," 21234709.2932079"," 32321344.8203125"," 46220206.7228547"," 17193482.0462089"," 18737353.9917934","69.0893662865094"," 50.9614602902244"," 28.2410671642472"," 44.739501640205"," 36.3192565737701"," 45.576155492832","2.344"," 5.102"," 1.522"," 0.532"," 0.699"," 0.405"," 0.918","1.23"," 2.35"," 0.61"," -0.91"," -0.52"," -1.30"," -0.12","0.454608117775042"," 4.41768311425506E-05"," 0.103146764332116"," 0.18762198387788"," 0.915630573566875"," 0.0107765471213579"," 0.999999812559271","1"," 0.00151220691218731"," 1"," 1"," 1"," 0.207340766614926"," 1","7.2","5.5"," 4.7"," 5.4"," 2.8"," 5.8"," 6.2"," 5.5"," 5.8"," 7.0"," 5.8"," 6.8"," 7.2"," 5.7"," 5.7"," 6.8"," 7.2"," 6.6"," 5.8"," 6.2"," 5.5"," 6.6"," 6.2"," 5.5"," 5.6"," 7.1"," 6.0"," 6.7"," 6.3"," 6.2"," 6.6"," 5.8"," 5.5"," 6.2"," 3.9"," 5.5"
"69", "", "False", "4-Dodecylbenzenesulfonic acid", "C18 H30 O3 S", "Not the top hit", " Full match", " No results", " No results", " No results", "3.42", "326.19268", "325.18540", "9.399", "79880714.8351707", "0", "3", "0", "99.6", "10.0", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "No matches found", "PreferredDDA", "", "[M-H]-1", "54150944.9281847", " 60170878.6377749", " 60127006.9072443", " 62638499.7665941", " 54732107.0812533", " 63416278.5767027", "", " 44.5082986862168", " 31.0636183801337", " 22.6842425641125", " 50.7316645576877", " 24.3442202188887", "1.111", " 1.157", " 0.999", " 0.910", " 0.960", " 1.012", " 0.863", "0.15", " 0.21", " 0.00", " -0.14", " -0.06", " 0.02", " -0.21", "", " ", " 0.996644460185358", " 0.977677109290558", " 0.998925171103966", " 0.99936541161567", " 0.681004163111017", "", " ", " 1", " 1", " 1", " 1", " 1", "5.3", "", " ", " ", " ", " 4.3", " 3.9", " 3.9", " 1.3", " 3.9", " ", " 3.7", " 2.9", " 4.8", " 4.1", " 4.8", " ", " 3.4", " 5.3", " 4.6", " 4.9", " ", " 4.9", " 4.6", " 2.8", " 4.7", " 2.8", " 3.9", " 3.9", " 4.9", " 5.3", " 4.9", " 4.6", " 4.9", " 2.3", " 5.3"
"19", "", "False", "Furmecyclox", "C14 H21 N O3", "Invalid mass", " No results", " No results", " Invalid mass", " No results", "5.02", "251.15340", "250.14613", "6.621", "77349927.7525464", "1", "0", "0", "", "", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "No matches found", "PreferredDDA", "", "[M-H]-1", "9935575.12225178", " 14645628.0672728", " 4327780.5029519", " 4938753.80369656", " 3265437.94368317", " 6103696.8098887", "", " 89.5297363714637", " 86.2678737311763", " 150.857764513328", " 44.1569974734785", " 69.0543983049093", "1.474", " 0.497", " 0.295", " 0.755", " 0.876", " 1.236", " 0.535", "0.56", " -1.01", " -1.76", " -0.41", " -0.19", " 0.31", " -0.90", "", " ", " 0.779406040027271", " 0.961747668712509", " 0.775950850066006", " 0.911725781219557", " 0.845310603022072", "", " ", " 1", " 1", " 1", " 1", " 1", "7.0", "", " ", " 6.2", " ", " ", " 5.8", " ", " ", " 5.1", " ", " 5.6", " 6.0", " 6.0", " 3.9", " 5.2", " 5.8", " 7.0", " 6.0", " 6.0", " 6.0", " 5.8", " 4.2", " 5.8", " 5.2", " 4.8", " 5.6", " 3.9", " 2.3", " 6.6", " 6.2", " 4.2", " 6.6", " 5.8", " 5.2", " 3.5"
